Código do contrato,Nome do imóvel,Nome do proprietário,Bairro,Cidade,Estado,Número de inquilinos,Nome(s) do(s) inquilino(s),Número de proprietários/beneficiários,Nomes dos proprietários/beneficíarios,Valor do aluguel,Taxa de administração do contrato,Taxa de locação do contrato,Taxa de administração é valor fixo,Taxa de locação é valor fixo,Data de início do contrato,Data do fim do contrato,Valor de venda do imóvel,Data de recisão,Contrato ativo,Número de locações do imóvel,Data do último reajuste,Contrato suspenso,Gerente comercial,Tipo de imóvel,Tipo de contrato,Tempo de contrato,Tempo para fim do contrato,Valor taxa de administração,Valor taxa de locação
635/4,"Casa Assobradada No Jardim Amanda Ii, Rua Aluízio Medeiros 10  A ",Caitlyn Kiramman,Jardim Amanda Ii,Hortolândia,SP,2,"['Ryuoo', 'Mel']",1,Caitlyn Kiramman,1000.0,0.0,,Não,Não,2022-12-01,2025-05-31,,,Sim,4,2022-12-01,Sim,,Casa assombrada,Residencial,281,631.0,0.0,
670/1,"Casa No Chácara Santa Letícia, Rua Francisco Ferreira Da Silva 111 ",Carlos Alberto De Nóbrega Praça,Chácara Santa Letícia,Campinas,SP,1,['Adão Santos'],1,Carlos Alberto De Nóbrega Praça,1000.0,0.0,0.0,Não,Sim,2022-12-01,2025-05-31,,,Sim,1,2022-12-01,Sim,,Casa,Residencial,281,631.0,0.0,0.0
796/2,"Casa No Jardim D'Abril, Rua Pomba Do Ar 77 ",Will Smith,Jardim D'Abril,São Paulo,SP,1,['Ademir Soares'],1,Will Smith,1000.0,0.0,0.0,Não,Sim,2022-12-05,2025-06-04,,,Sim,2,2022-12-01,Sim,,Casa,Residencial,277,635.0,0.0,0.0
443/2,"Casa No Jardim Bom Retiro (Nova Veneza), Rua Raimunda Maria Cipriano 477 ",Catarino,Jardim Bom Retiro (Nova Veneza),Sumaré,SP,2,"['Adão Santos', 'Mel']",1,Catarino,1000.0,10.0,0.0,Não,Sim,2022-12-05,2025-06-04,,,Sim,2,2022-12-05,Sim,,Casa,Residencial,277,635.0,100.0,0.0
706/1,"Chácara No Jardim Santa Vitória, Rua Luís Dumont Villares 222 ",Teste Da Tsu,Jardim Santa Vitória,Campinas,SP,1,['Ademir Soares'],1,Teste Da Tsu,1222.0,0.0,0.0,Não,Sim,2022-12-06,2025-06-05,,,Sim,1,2022-12-06,Sim,,Chácara,Residencial,276,636.0,0.0,0.0
676/1,"Casa No Jardim Fonte Do Morumbi, Estrada Carlos Queiroz Telles 100  Ap 101 ",Santiaguito,Jardim Fonte Do Morumbi,São Paulo,SP,1,['Caca Ferrado'],1,Santiaguito,1000.0,10.0,100.0,Não,Sim,2022-12-07,2025-06-06,100000.0,,Sim,1,2022-12-07,Sim,,Casa,Residencial,275,637.0,100.0,100.0
675/1,"Casa No Jardim Fonte Do Morumbi, Estrada Carlos Queiroz Telles 100  Ap 101 ",Caca Ferrado,Jardim Fonte Do Morumbi,São Paulo,SP,1,['Ademir Soares'],1,Caca Ferrado,1000.0,10.0,100.0,Não,Não,2022-12-07,2025-06-06,100000.0,,Sim,1,2022-12-07,Sim,,Casa,Residencial,275,637.0,100.0,1000.0
680/1,"Casa No Vila Boa Esperança, Rua Valentim Gentil 152 ",Luis Antonio,Vila Boa Esperança,Ourinhos,SP,1,['Alexandre Santos'],1,Luis Antonio,1000.0,10.0,,Não,Não,2022-12-15,2025-06-14,500000.0,,Sim,1,2022-12-15,Sim,,Casa,Residencial,267,645.0,100.0,
25/3,"Chácara No Jardim São Marcos, Rua Professora Hermínia Ricci 3R35 ",Sergio,Jardim São Marcos,Campinas,SP,1,['Helena'],2,Sergio,1004.1,50.0,0.0,Não,Sim,2020-06-15,2025-06-14,0.0,,Sim,3,2023-06-01,Sim,,Chácara,Residencial,1180,645.0,502.05,0.0
686/1,"Casa No Jardim Fonte Do Morumbi, Estrada Carlos Queiroz Telles 100  Ap 101 ",Fernando Medeiros,Jardim Fonte Do Morumbi,São Paulo,SP,1,['Fernando Medeiros'],1,Fernando Medeiros,1000.0,10.0,100.0,Não,Sim,2022-12-17,2025-06-16,100000.0,,Sim,1,2022-12-17,Sim,,Casa,Residencial,265,647.0,100.0,100.0
750/1,"Casa No Botafogo, Rua Hércules Florence 47 ",Osvaldo Lucca Costa,Botafogo,Campinas,SP,1,['Ademir Soares'],1,Osvaldo Lucca Costa,5000.0,10.0,0.0,Não,Sim,2022-12-19,2025-06-18,,,Sim,1,2022-12-19,Não,,Casa,Residencial,263,649.0,500.0,0.0
687/1,"Casa No Parque Residencial Figueira Ii, Rua Peroba Rosa 12 ",Bruno Isaias Teste Um,Parque Residencial Figueira Ii,Monte Mor,SP,1,['Isaias Bruno teste um'],1,Bruno Isaias Teste Um,2000.0,10.0,0.0,Não,Não,2022-12-19,2025-06-18,,,Sim,1,2022-12-19,Sim,,Casa,Residencial,263,649.0,200.0,0.0
689/1,"Casa No Jardim Fonte Do Morumbi, Estrada Carlos Queiroz Telles 100  Ap 101 ",Sofia Mikrute Ribeiro Varéa,Jardim Fonte Do Morumbi,São Paulo,SP,1,['Sofia Mikrute Ribeiro Varéa'],1,Sofia Mikrute Ribeiro Varéa,1000.0,10.0,100.0,Não,Não,2022-12-21,2025-06-20,100000.0,,Sim,1,2022-12-21,Sim,,Casa,Residencial,261,651.0,100.0,1000.0
688/1,"Casa No Jardim Fonte Do Morumbi, Estrada Carlos Queiroz Telles 100  Ap 101 ",Eder Oliveira,Jardim Fonte Do Morumbi,São Paulo,SP,1,['Eder Oliveira'],1,Eder Oliveira,1000.0,10.0,100.0,Não,Sim,2022-12-21,2025-06-20,,,Sim,1,2022-12-21,Sim,,Casa,Residencial,261,651.0,100.0,100.0
725/1,"Casa No Vila Inema, Rua Manoel João Da Silva 155 ",Dcls7,Vila Inema,Hortolândia,SP,1,['Silas'],1,Dcls7,1000.0,10.0,0.0,Não,Sim,2022-12-26,2025-06-25,,,Sim,1,2022-12-26,Sim,,Casa,Residencial,256,656.0,100.0,0.0
724/1,"Casa No Vila Inema, Rua Cícero Rodrigues Da Silva 155 ",Douglas Santana N1,Vila Inema,Hortolândia,SP,1,['Douglas santana loc N1'],1,Douglas Santana N1,1000.0,10.0,0.0,Não,Sim,2022-12-26,2025-06-25,,,Sim,1,2022-12-26,Sim,,Casa,Residencial,256,656.0,100.0,0.0
694/1,"Casa No Jardim Fonte Do Morumbi, Estrada Carlos Queiroz Telles 100  Ap 101 ",Santiaguito,Jardim Fonte Do Morumbi,São Paulo,SP,3,"['Ademir Soares', 'Alexandre Santos', 'Alfa 1']",1,Santiaguito,500.0,10.0,0.0,Não,Sim,2022-12-27,2025-06-26,,,Sim,1,2022-12-27,Sim,,Casa,Residencial,255,657.0,50.0,0.0
40/1,"Casa No Centro, Avenida Rio Branco 345 ",Rodrigo Barros,Centro,Rio De Janeiro,RJ,1,['Imobiliária terceira'],1,Rodrigo Barros,1000.0,100.0,0.0,Não,Sim,2020-06-30,2025-06-29,0.0,,Sim,1,2021-06-01,Sim,,Casa,Residencial,1165,660.0,1000.0,0.0
uru20003/1,"Casa No Centro, Rua Uruguaiana 20003 ",Pp 1,Centro,Rio De Janeiro,RJ,1,['Ademir Soares'],1,Pp 1,10000.0,10.0,,Não,Não,2023-01-01,2025-06-30,0.0,,Sim,1,2023-01-01,Sim,,Casa,Residencial,250,661.0,1000.0,
uru20002/1,"Casa No Centro, Rua Uruguaiana 20001 ",Pp 1,Centro,Rio De Janeiro,RJ,1,['Alexandre Santos'],2,Pp 1,10000.0,10.0,,Não,Não,2023-01-01,2025-06-30,,,Sim,1,2023-01-01,Sim,,Casa,Residencial,250,661.0,1000.0,
23/2,"Chácara No Teotônio Vilela, Rua Santo Antonio 25  Teste  ",Camila De Lucas,Teotônio Vilela,Ilhéus,BA,1,['Ingrid'],2,Camila De Lucas,1423.83,10.0,0.0,Não,Sim,2023-01-01,2025-06-30,0.0,,Sim,2,2023-01-01,Sim,,Chácara,Residencial,250,661.0,142.383,0.0
788/2,"Chácara No Nova Descoberta, Rua Presbítero Expedito Neri 10 ",Luiz Da Silva Silva,Nova Descoberta,Natal,RN,1,['Mel'],2,Luiz Da Silva Silva,1000.0,10.0,,Não,Não,2023-01-01,2025-06-30,,,Sim,2,2023-01-01,Sim,,Chácara,Residencial,250,661.0,100.0,
732/1,"Apartamento Duplex No Cidade Satélite Íris, Rua Elpídio Nivoloni",Paolo,Cidade Satélite Íris,Campinas,SP,1,['Mel'],1,Paolo,1230.0,10.0,0.0,Não,Sim,2023-01-01,2025-06-30,0.0,,Sim,1,2023-01-01,Sim,,Apartamento duplex,Residencial,250,661.0,123.0,0.0
734/1,"Casa No São Mateus, Rua Iara 10 ",Fiadteste Dois,São Mateus,São João De Meriti,RJ,1,['Ademir Soares'],1,Fiadteste Dois,500.0,5.0,0.0,Não,Não,2023-01-01,2025-06-30,,,Sim,1,2023-01-01,Sim,,Casa,Residencial,250,661.0,25.0,0.0
726/1,"Apartamento No Cordovil, Rua Barra Do Turvo 342 ",Daniel Leal,Cordovil,Rio De Janeiro,RJ,1,['Adão Santos'],1,Daniel Leal,2000.0,10.0,0.0,Não,Sim,2023-01-01,2025-06-30,,,Sim,1,2023-01-01,Sim,,Apartamento,Residencial,250,661.0,200.0,0.0
TESTE ALIANÇA/NÃO USAR/1,"Casa No Jardim Santa Lúcia, Rua Poços De Caldas 546 ",Octavio Carvalho,Jardim Santa Lúcia,Campinas,SP,1,['Cecilia Carvalho'],1,Octavio Carvalho,1000.0,10.0,,Não,Não,2023-01-01,2025-06-30,,,Sim,1,2022-01-01,Sim,,Casa,Residencial,250,661.0,100.0,
715/1,"Apartamento No Itanhangá, Rua Moacir Fenelon 477  Ap 123 ",Fernando Leal,Itanhangá,Rio De Janeiro,RJ,1,['Alexandre Santos'],1,Fernando Leal,2000.0,10.0,0.0,Não,Sim,2023-01-01,2025-06-30,,,Sim,1,2023-01-01,Sim,,Apartamento,Residencial,250,661.0,200.0,0.0
709/1,"Casa No São Mateus, Rua Iara 16 ",Pedro Ivo,São Mateus,São João De Meriti,RJ,1,['locatario teste'],1,Pedro Ivo,1000.0,10.0,0.0,Não,Não,2023-01-01,2025-06-30,,,Sim,1,2023-01-01,Sim,,Casa,Residencial,250,661.0,100.0,0.0
698/1,"Casa Assobradada No Jardim Capuavinha, Rua Latif Pires Miguel Filho 3 ",Bruno Isaias N2,Jardim Capuavinha,Monte Mor,SP,1,['Adão Santos'],1,Bruno Isaias N2,1000.0,10.0,0.0,Não,Sim,2023-01-01,2025-06-30,120000.0,,Sim,1,2023-01-01,Sim,,Casa assombrada,Residencial,250,661.0,100.0,0.0
697/1,"Casa No Jardim Recanto Dos Sonhos, Rua José Vieira Dos Santos 63000 ",Ana Livia,Jardim Recanto Dos Sonhos,Sumaré,SP,1,['Pirulitim de Goma'],1,Ana Livia,10.0,10.0,0.0,Não,Sim,2023-01-01,2025-06-30,,,Sim,1,2023-01-01,Sim,,Casa,Residencial,250,661.0,1.0,0.0
705/1,"Escritório No Jardim Santa Vitória, Rua Luís Dumont Villares 1212 ",Joana Dark,Jardim Santa Vitória,Campinas,SP,1,['Ademir Soares'],1,Joana Dark,2322.0,0.0,0.0,Não,Sim,2023-01-03,2025-07-02,,,Sim,1,2023-01-03,Sim,,Escritório,Residencial,248,663.0,0.0,0.0
746/1,"Casa No Tomazinho, Rua Gonçalves Ferreira 62  Teste ",Dsfsadfsadfsdf,Tomazinho,São João De Meriti,RJ,1,['sadasdasd'],1,Dsfsadfsadfsdf,2000.0,5.0,0.0,Não,Não,2023-01-05,2025-07-04,,,Sim,1,2023-01-05,Sim,,Casa,Residencial,246,665.0,100.0,0.0
548/2,"Apartamento No Santa Maria, Apto 9 34 ",Brunielen Gomes,Santa Maria ,Sumaré,SP,1,['Alexandre Santos'],5,Brunielen Gomes,1415.67,10.0,0.0,Não,Sim,2023-01-10,2025-07-09,0.0,,Sim,2,2023-01-10,Sim,,Apartamento,Residencial,241,670.0,141.567,0.0
359/2,"Casa No Florinda, Rua Salmpo 32  A ",Gutinho Do Sorvetinho,Florinda,Campinas,SP,1,['Adão Santos'],1,Gutinho Do Sorvetinho,1000.0,0.0,0.0,Não,Sim,2023-01-10,2025-07-09,0.0,,Sim,2,2023-01-10,Sim,,Casa,Residencial,241,670.0,0.0,0.0
714/1,"Box/Garagem No Jardim Dos Oliveiras, Rua Edmundo Plácido Chiavegatto",Rede Vistoriass,Jardim Dos Oliveiras,Campinas,SP,1,['Ademir Soares'],1,Rede Vistoriass,1000.0,0.0,0.0,Não,Sim,2023-01-11,2025-07-10,,,Sim,1,2023-01-11,Sim,,Box/Garagem,Residencial,240,671.0,0.0,0.0
702/1,"Casa No Jardim Imperial, Rua Bela Vista 10 ",Blue Ivy,Jardim Imperial,Atibaia,SP,1,['Alexandre Santos'],1,Blue Ivy,14150.0,10.0,0.0,Não,Sim,2023-01-11,2025-07-10,,,Sim,1,2023-01-11,Sim,,Casa,Indústria,240,671.0,1415.0,0.0
704/1,"Casa No Jardim Fonte Do Morumbi, Avenida Carlos Queiroz Telles 100  Ap 101 ",Daniela Dall Asta,Jardim Fonte Do Morumbi,São Paulo,SP,1,['Daniela Dall Asta'],1,Daniela Dall Asta,1000.0,10.0,100.0,Não,Sim,2023-01-11,2025-07-10,100000.0,,Sim,1,2023-01-11,Sim,,Casa,Residencial,240,671.0,100.0,100.0
729/1,"Apartamento No Centro, Praça Getúlio Vargas 666 ",Rede Vistoriass,Centro,Poços De Caldas,MG,1,['Daniel Teste Camarguinho'],1,Rede Vistoriass,430.0,0.0,0.0,Não,Sim,2023-01-18,2025-07-17,,,Sim,1,2023-01-18,Sim,,Apartamento,Residencial,233,678.0,0.0,0.0
708/1,"Casa No Chácara Santa Letícia, Rua Francisco Ferreira Da Silva 1 ",Fiadteste Dois,Chácara Santa Letícia,Campinas,SP,1,['Alexandre Santos'],1,Fiadteste Dois,1000.0,10.0,0.0,Não,Sim,2023-01-18,2025-07-17,,,Sim,1,2023-01-18,Sim,,Casa,Residencial,233,678.0,100.0,0.0
60/3,"Chácara No Nossa Senhora Das Graças, Rua Severino Vilarin 02  Teste Do Demonstrativo  ",Camila De Lucas,Nossa Senhora Das Graças,Gravatá,PE,1,['Alexandre Santos'],2,Camila De Lucas,2000.0,10.0,0.0,Não,Não,2023-01-18,2025-07-17,0.0,,Sim,3,2023-01-18,Sim,,Chácara,Residencial,233,678.0,200.0,0.0
763/1,"Apartamento No Teste, Teste",Teste Foco Lu,Teste,Teste Dimob,PB,1,['Ademir Soares'],1,Teste Foco Lu,1110.0,0.0,0.0,Não,Sim,2023-01-19,2025-07-18,,,Sim,1,2023-01-19,Sim,,Apartamento,Residencial,232,679.0,0.0,0.0
711/1,"Edícula No Nova Descoberta, Rua Presbítero Expedito Neri",Joana Dark,Nova Descoberta,Natal,RN,1,['Alexandre Santos'],1,Joana Dark,1000.0,0.0,0.0,Não,Sim,2023-01-19,2025-07-18,,,Sim,1,2023-01-19,Sim,,Edícula,Residencial,232,679.0,0.0,0.0
731/1,"Casa No Jardim Amoreiras, Rua Maria Luíza Missio Mingone 18000 ",T.Este,Jardim Amoreiras,Campinas,SP,1,['Adão Santos'],1,T.Este,1131.37,10.0,0.0,Não,Sim,2020-01-20,2025-07-19,,,Sim,1,2022-01-20,Sim,,Casa,Residencial,1327,680.0,113.137,0.0
717/1,"Casa No Jardim Recanto Dos Sonhos, Rua José Vieira Dos Santos 897 ",Miguel Ramos,Jardim Recanto Dos Sonhos,Sumaré,SP,1,['Ademir Soares'],1,Miguel Ramos,1000.0,12.0,0.0,Não,Sim,2023-01-24,2025-07-23,,,Sim,1,2023-01-24,Sim,,Casa,Residencial,227,684.0,120.0,0.0
722/1,"Casa No Chácara Santa Letícia, Rua Francisco Ferreira Da Silva 5 ",Jamerson,Chácara Santa Letícia,Campinas,SP,1,['Alexandre Santos'],1,Jamerson,15000.0,10.0,0.0,Não,Sim,2023-01-25,2025-07-24,150000.0,,Sim,1,2023-01-25,Sim,,Casa,Residencial,226,685.0,1500.0,0.0
721/1,"Casa No Chácara Santa Letícia, Rua Francisco Ferreira Da Silva 3 ",João Fran,Chácara Santa Letícia,Campinas,SP,1,['Alfa 1'],1,João Fran,1000.0,10.0,0.0,Não,Sim,2023-01-25,2025-07-24,150000.0,,Sim,1,2023-01-25,Sim,,Casa,Residencial,226,685.0,100.0,0.0
803/2,"Apartamento No Boa Vista, Rua Deputado Atílio De Almeida Barbosa",Gt Emprrendimentos Imobiliários,Boa Vista,Curitiba,PR,1,['Adão Santos'],1,Gt Emprrendimentos Imobiliários,1250.0,10.0,1250.0,Não,Sim,2023-02-01,2025-07-31,,,Sim,2,2023-05-01,Sim,,Apartamento,Residencial,219,692.0,125.0,1250.0
736/1,"Casa No Jardim Capuavinha, Rua Latif Pires Miguel Filho 1 ",Bruno Isaias N2,Jardim Capuavinha,Monte Mor,SP,1,['Mel'],1,Bruno Isaias N2,3000.0,10.0,0.0,Não,Sim,2023-02-01,2025-07-31,900000.0,,Sim,1,2023-02-01,Sim,,Casa,Residencial,219,692.0,300.0,0.0
240/2,"Casa No Alecrim, Travessa Torres 888 ",Propteste Tres,Alecrim,Natal,RN,1,['Locteste Quatro'],1,Propteste Tres,10000.0,10.0,0.0,Não,Sim,2019-09-01,2025-07-31,500000.0,,Sim,2,2021-09-01,Sim,,Casa,Residencial,1468,692.0,1000.0,0.0
747/1,"Casa No Jardim Capuavinha, Rua Latif Pires Miguel Filho 96 ",Bruno Isaias N2,Jardim Capuavinha,Monte Mor,SP,1,['Pelé da prefeitura'],1,Bruno Isaias N2,2290.0,10.0,0.0,Não,Sim,2023-02-02,2025-08-01,,,Sim,1,2023-02-02,Sim,,Casa,Residencial,218,693.0,229.0,0.0
733/1,"Casa No Tomazinho, Rua Gonçalves Ferreira 62 ",Novo Teste,Tomazinho,São João De Meriti,RJ,1,['Adão Santos'],1,Novo Teste,5000.0,5.0,0.0,Não,Sim,2023-02-03,2025-08-02,,,Sim,1,2023-02-03,Sim,,Casa,Residencial,217,694.0,250.0,0.0
757/1,"Casa No Vila Bianchi, Rua Voluntário Carlos Gonzales 520 ",Harry Styles,Vila Bianchi,Bragança Paulista,SP,1,['Alfa 1'],2,Harry Styles,10000.0,10.0,0.0,Não,Sim,2023-02-04,2025-08-03,,,Sim,1,2023-02-04,Sim,,Casa,Residencial,216,695.0,1000.0,0.0
764/1,"Apartamento No Centro, Rua Do Rosário 789  Ap 402 ",Daniel Leal,Centro,Rio De Janeiro,RJ,1,['Ricardo Gomes da Silva'],1,Daniel Leal,2200.0,10.0,0.0,Não,Sim,2023-02-05,2025-08-04,,,Sim,1,2023-02-05,Sim,,Apartamento,Residencial,215,696.0,220.0,0.0
735/1,"Casa No Jardim Capuavinha, Rua Latif Pires Miguel Filho 90 ",Bruno Isaias N2,Jardim Capuavinha,Monte Mor,SP,1,['Chita superlogica'],1,Bruno Isaias N2,1200.0,10.0,100.0,Não,Não,2023-02-06,2025-08-05,500000.0,,Sim,1,2023-02-06,Sim,,Casa,Residencial,214,697.0,120.0,1200.0
755/1,"Casa No Jardim Capuavinha, Rua Latif Pires Miguel Filho 101 ",Bruno Isaias N2,Jardim Capuavinha,Monte Mor,SP,1,['Alexandre Santos'],1,Bruno Isaias N2,400.0,0.0,0.0,Não,Não,2023-02-10,2025-08-09,500000.0,,Sim,1,2023-02-10,Sim,,Casa,Residencial,210,701.0,0.0,0.0
872/1,"Apartamento No Parque Cecap, Rua Dos Alecrins 121 ",Moisés Rodrigues,Parque Cecap,Valinhos,SP,1,['Tomás Bruno Rodrigues'],1,Moisés Rodrigues,2000.0,10.0,0.0,Não,Sim,2023-08-14,2025-08-13,1500000.0,,Sim,1,2023-08-01,Não,,Apartamento,Residencial,25,705.0,200.0,0.0
42/1,"Apartamento No Jardim Proença, Avenida Rio Branco 23  Sdakjabfkjhbdrl ",Paolo,Jardim Proença,Rio De Janeiro,RJ,2,"['GT Emprrendimentos imobiliários', 'prefeitura']",1,Paolo,1000.0,10.0,0.0,Não,Sim,2020-08-14,2025-08-13,0.0,,Sim,1,2021-06-01,Sim,,Apartamento,Residencial,1120,705.0,100.0,0.0
710/2,"Flat No Vila Bianchi, Rua Voluntário Carlos Gonzales 1200 ",Churumelas Da Silva,Vila Bianchi,Bragança Paulista,SP,1,['Adão Santos'],1,Churumelas Da Silva,4587.0,10.0,10.0,Não,Não,2023-02-15,2025-08-14,,,Sim,2,2023-02-15,Sim,,Flat,Residencial,205,706.0,458.70000000000005,458.70000000000005
394/2,"Casa No Nova Descoberta, Rua Presbítero Expedito Neri",Luiz Da Silva Silva,Nova Descoberta,Manaus,RN,1,['Calango Teste'],2,Luiz Da Silva Silva,850.0,10.0,0.0,Não,Sim,2023-02-22,2025-08-21,0.0,,Sim,2,2023-02-01,Sim,,Casa,Residencial,198,713.0,85.0,0.0
758/1,"Casa No Waldemar Maciel, Rua João Pessoa 10 ",Teste Aluguel,Waldemar Maciel,Rio Branco,AC,1,['teste 3 aluguel'],2,Teste Aluguel,1100.0,10.0,0.0,Não,Sim,2023-02-24,2025-08-23,,,Sim,1,2023-02-24,Sim,,Casa,Residencial,196,715.0,110.0,0.0
355/2,"Apartamento Triplex No Jardim Dos Oliveiras, Rua Tupã",Fiadteste Dois,Jardim Dos Oliveiras,Campinas,SP,1,['Adão Santos'],1,Fiadteste Dois,10000.0,0.0,,Não,Não,2023-02-25,2025-08-24,0.0,,Sim,2,2023-02-25,Sim,,Apartamento triplex,Residencial,195,716.0,0.0,
873/1,"Casa No Centro, Rua Uruguaiana 94  Centro ",Claudio Neiva Guimaraes,Centro,Rio De Janeiro,RJ,1,['Homero'],1,Claudio Neiva Guimaraes,1000.0,10.0,0.0,Não,Sim,2023-03-01,2025-08-31,10000.0,,Sim,1,2023-03-01,Não,,Casa,Residencial,191,723.0,100.0,0.0
844/1,"Casa No Terra Preta, Avenida Magal 1800  Apto 44 Torre 7 ",Bruna Leticia Da Silva Dias,Terra Preta,Monte Mor,SP,1,['TESTE IR THAY'],1,Bruna Leticia Da Silva Dias,2444.12,0.0,0.0,Não,Sim,2023-03-01,2025-08-31,,,Sim,1,2023-03-01,Sim,,Casa,Residencial,191,723.0,0.0,0.0
liga1001/1,"Galpão No São José, Travessa Ligação 10001 ",Almira Santanna,São José,Belford Roxo,RJ,1,['Adão Santos'],3,Almira Santanna,8000.0,10.0,0.0,Não,Sim,2023-03-01,2025-08-31,,,Sim,1,2023-03-01,Sim,,Galpão,Residencial,191,723.0,800.0,0.0
776/1,"Andar Corporativo No Jardim Dos Oliveiras, Rua Tupã 8754896 ",Fiadteste Dois,Jardim Dos Oliveiras,Campinas,SP,1,['Alfa 1'],1,Fiadteste Dois,4520.0,0.0,0.0,Não,Sim,2023-03-01,2025-08-31,,,Sim,1,2023-03-01,Sim,,Andar corporativo,Residencial,191,723.0,0.0,0.0
771/1,"Apartamento No Parque Ortolândia, Avenida Santana 300  Bloco B, 112 ",Mel Fornecedora,Parque Ortolândia,Hortolândia,SP,1,['Mel'],2,Mel Fornecedora,1000.0,10.0,,Não,Não,2023-03-01,2025-08-31,,,Sim,1,2023-03-01,Sim,,Apartamento,Residencial,191,723.0,100.0,
760/1,"Casa No Jardin, Avenida Paulista 1234 ",Paolo,Jardin,São Paulo,SP,2,"['Mel 2', 'Mel Fornecedora']",1,Paolo,1000.0,10.0,0.0,Não,Sim,2023-03-01,2025-08-31,500000.0,,Sim,1,2023-03-01,Sim,,Casa,Residencial,191,723.0,100.0,0.0
752/1,"Casa No São Mateus, Rua Iara 123  Teste Encargo ",Dsasdasdasd,São Mateus,São João De Meriti,RJ,1,['Adão Santos'],1,Dsasdasdasd,1500.0,5.0,0.0,Não,Sim,2023-03-01,2025-08-31,,,Sim,1,2023-03-01,Sim,,Casa,Residencial,191,723.0,75.0,0.0
33/1,"Casa No Plácido De Castro, Rua Mangueira",Teste Adm,Plácido De Castro,Rio Branco,AC,1,['Teste Giovanna 1'],3,Teste Adm,10000.0,10.0,0.0,Não,Sim,2019-07-01,2025-08-31,0.0,,Sim,1,2020-06-01,Sim,,Casa,Residencial,1530,723.0,1000.0,0.0
778/1,"Área Comum No Jardim Dos Oliveiras, Rua Tupã 485993 ",Fiadteste Dois,Jardim Dos Oliveiras,Campinas,SP,1,['Alexandre Santos'],1,Fiadteste Dois,9560.0,0.0,0.0,Não,Sim,2023-03-02,2025-09-01,,,Sim,1,2023-03-02,Sim,,Área comum,Residencial,190,724.0,0.0,0.0
773/1,"Apartamento No Jardim Dos Oliveiras, Rua Tupã 95959595 ",Fiadteste Dois,Jardim Dos Oliveiras,Campinas,SP,1,['Aline Freitas'],1,Fiadteste Dois,15000.0,0.0,0.0,Não,Sim,2023-03-02,2025-09-01,,,Sim,1,2023-03-02,Sim,,Apartamento,Residencial,190,724.0,0.0,0.0
66/2,"Casa No Teste, Avenida Rio Branco 56 ",Proprietário Teste 1,Teste,Rio De Janeiro,RJ,1,['Ademir Soares'],1,Proprietário Teste 1,1439.36,10.0,0.0,Não,Sim,2020-09-02,2025-09-01,0.0,,Sim,2,2022-09-01,Sim,,Casa,Residencial,1101,724.0,143.936,0.0
749/2,"Casa No Tomazinho, Rua Gonçalves Ferreira 456 ",Fiadteste Dois,Tomazinho,São João De Meriti,RJ,1,['Ademir Soares'],1,Fiadteste Dois,1000.0,10.0,0.0,Não,Sim,2023-03-03,2025-09-02,0.0,,Sim,2,2023-03-03,Sim,,Casa,Residencial,189,725.0,100.0,0.0
775/1,"Barracão No Jardim Dos Oliveiras, Rua Tupã 784785 ",Fiadteste Dois,Jardim Dos Oliveiras,Campinas,SP,1,['Adão Santos'],1,Fiadteste Dois,9630.0,0.0,0.0,Não,Sim,2023-03-05,2025-09-04,,,Sim,1,2023-03-05,Sim,,Barracão,Residencial,187,727.0,0.0,0.0
777/1,"Apartamento Duplex No Jardim Dos Oliveiras, Rua Pompeu Carvalho De Moura 9859595 ",Fiadteste Dois,Jardim Dos Oliveiras,Campinas,SP,1,['Alexandre Santos'],1,Fiadteste Dois,96320.0,0.0,0.0,Não,Sim,2023-03-08,2025-09-07,,,Sim,1,2023-03-08,Sim,,Apartamento duplex,Residencial,184,730.0,0.0,0.0
774/1,"Barracão No Jardim Dos Oliveiras, Rua Tupã 98989898 ",Fiadteste Dois,Jardim Dos Oliveiras,Campinas,SP,1,['Gabriel'],1,Fiadteste Dois,9500.0,0.0,0.0,Não,Sim,2023-03-09,2025-09-08,,,Sim,1,2023-03-09,Sim,,Barracão,Residencial,183,731.0,0.0,0.0
769/1,"Casa No Jardim Capuavinha, Rua Latif Pires Miguel Filho 15 ",Fiadteste Dois,Jardim Capuavinha,Monte Mor,SP,1,['Alfa 1'],1,Fiadteste Dois,5000.0,0.0,0.0,Não,Sim,2023-03-10,2025-09-09,1000000.0,,Sim,1,2023-03-10,Sim,,Casa,Residencial,182,732.0,0.0,0.0
68/2,"Chácara No São Clemente, Rua Um 02 ",Fiadteste Dois,São Clemente,Belém,PA,1,['Ademir Soares'],1,Fiadteste Dois,10000.0,10.0,0.0,Não,Não,2023-03-11,2025-09-10,0.0,,Sim,2,2023-03-11,Sim,,Chácara,Residencial,181,733.0,1000.0,0.0
8/4,"Apartamento No Núcleo Residencial Getúlio Vargas, Rua Manoella Candida De Paula 10 ",Fiadteste Dois,Núcleo Residencial Getúlio Vargas,Campinas,SP,1,['Alfa 1'],1,Fiadteste Dois,6071.71,10.0,0.0,Não,Sim,2023-03-13,2025-09-12,0.0,,Sim,4,2023-03-13,Sim,,Apartamento,Residencial,179,735.0,607.171,0.0
